,5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed,Holiday
0,2018-02-19 00:00:00,4,71.9,16,69.7,17,62.7,37,66.7,3,100,1
1,2018-02-19 00:05:00,2,71.8,17,69.8,14,62.8,33,67,3,100,1
2,2018-02-19 00:10:00,3,71.7,22,69.1,13,62.7,38,67.1,3,100,1
3,2018-02-19 00:15:00,2,71.7,12,69.2,9,62.7,23,66.9,3,100,1
4,2018-02-19 00:20:00,6,71.7,11,69.3,19,62.8,36,66.3,3,100,1
5,2018-02-19 00:25:00,1,71.7,19,69.2,10,62.8,30,67.2,3,100,1
6,2018-02-19 00:30:00,3,71.8,19,68.6,10,62.8,32,67.1,3,100,1
7,2018-02-19 00:35:00,1,71.7,14,68.2,9,62.8,24,66.3,3,100,1
8,2018-02-19 00:40:00,3,71.8,16,69.1,9,62.8,28,67.4,3,100,1
9,2018-02-19 00:45:00,2,71.9,13,69.4,5,62.8,20,68,3,100,1
10,2018-02-19 00:50:00,4,72.1,14,69.4,8,62.7,26,67.8,3,100,1
11,2018-02-19 00:55:00,2,72,16,69.3,8,62.7,26,67.5,3,100,1
12,2018-02-19 01:00:00,2,71.8,12,69.4,10,62.8,24,66.8,3,100,1
13,2018-02-19 01:05:00,3,71.9,15,69.8,5,62.3,23,68.4,3,100,1
14,2018-02-19 01:10:00,3,71.8,15,69.7,8,62.5,26,67.7,3,100,1
15,2018-02-19 01:15:00,1,72,6,69.6,5,62.6,12,66.9,3,100,1
16,2018-02-19 01:20:00,1,72,9,69.7,8,62.6,18,66.7,3,100,1
17,2018-02-19 01:25:00,1,71.8,4,69.6,7,62.6,12,65.7,3,100,1
18,2018-02-19 01:30:00,1,71.7,9,69.5,9,62.8,19,66.4,3,100,1
19,2018-02-19 01:35:00,5,71.8,10,69.6,6,62.6,21,68.1,3,100,1
20,2018-02-19 01:40:00,3,71.9,11,69.6,3,62.6,17,68.8,3,100,1
21,2018-02-19 01:45:00,0,71.9,4,69.7,6,62.7,10,65.5,3,100,1
22,2018-02-19 01:50:00,2,71.8,4,69.7,4,62.7,10,67.3,3,100,1
23,2018-02-19 01:55:00,1,71.7,8,69.6,9,62.7,18,66.3,3,100,1
24,2018-02-19 02:00:00,0,71.7,9,69.1,8,62.7,17,66.1,3,100,1
