5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed,Holiday
2/19/2018 0:00,14,69.3,30,64.7,44,66.2,2,0,1
2/19/2018 0:05,11,69.2,26,64.6,37,66,2,0,1
2/19/2018 0:10,9,69.2,24,64.6,33,65.9,2,0,1
2/19/2018 0:15,10,69.2,26,64.6,36,65.9,2,0,1
2/19/2018 0:20,12,69.3,28,64.7,40,66.1,2,0,1
2/19/2018 0:25,11,69.3,27,64.7,38,66,2,0,1
2/19/2018 0:30,11,69.3,27,64.7,38,66,2,0,1
2/19/2018 0:35,7,69.4,22,64.8,29,65.9,2,0,1
2/19/2018 0:40,8,69.4,24,64.8,32,66,2,0,1
2/19/2018 0:45,8,69.4,23,64.8,31,66,2,0,1
2/19/2018 0:50,10,69.4,25,64.8,35,66.1,2,0,1
2/19/2018 0:55,10,69.4,25,64.8,35,66.1,2,0,1
2/19/2018 1:00,9,69.4,24,64.8,33,66.1,2,0,1
2/19/2018 1:05,8,69.2,23,64.6,31,65.8,2,0,1
2/19/2018 1:10,10,69.3,25,64.7,35,66,2,0,1
2/19/2018 1:15,5,69.4,20,64.8,25,65.7,2,0,1
2/19/2018 1:20,8,69.4,23,64.8,31,66,2,0,1
2/19/2018 1:25,5,69.3,21,64.7,26,65.6,2,0,1
2/19/2018 1:30,10,69.3,25,64.7,35,66,2,0,1
2/19/2018 1:35,9,69.3,25,64.7,34,65.9,2,0,1
2/19/2018 1:40,7,69.3,22,64.7,29,65.8,2,0,1
2/19/2018 1:45,6,69.2,21,64.6,27,65.6,2,0,1
2/19/2018 1:50,6,69.3,22,64.7,28,65.6,2,0,1
2/19/2018 1:55,7,69.3,22,64.7,29,65.8,2,0,1
2/19/2018 2:00,9,69.3,24,64.7,33,65.9,2,0,1
2/19/2018 2:05,7,69.3,22,64.7,29,65.8,2,0,1
2/19/2018 2:10,10,69.3,25,64.7,35,66,2,0,1
2/19/2018 2:15,10,69.3,20,64.7,30,66.2,2,0,1
2/19/2018 2:20,11,69.3,21,64.7,32,66.2,2,0,1
2/19/2018 2:25,6,69.3,21,64.7,27,65.7,2,0,1
2/19/2018 2:30,7,69.3,22,64.7,29,65.8,2,0,1
2/19/2018 2:35,7,69.3,22,64.7,29,65.8,2,0,1
2/19/2018 2:40,8,69.3,24,64.7,32,65.9,2,0,1
2/19/2018 2:45,7,69.3,22,64.7,29,65.8,2,0,1
2/19/2018 2:50,8,69.2,23,64.6,31,65.8,2,0,1
2/19/2018 2:55,7,69.2,23,64.6,30,65.7,2,0,1
2/19/2018 3:00,6,69.3,21,64.7,27,65.7,2,0,1
2/19/2018 3:05,9,69.3,24,64.7,33,65.9,2,0,1
2/19/2018 3:10,7,69.1,22,64.5,29,65.6,2,0,1
2/19/2018 3:15,7,69.2,22,64.6,29,65.7,2,0,1
2/19/2018 3:20,6,69.2,21,64.6,27,65.6,2,0,1
2/19/2018 3:25,7,69.3,22,64.7,29,65.8,2,0,1
2/19/2018 3:30,11,69.3,27,64.7,38,66,2,0,1
2/19/2018 3:35,12,69.4,27,64.8,39,66.2,2,0,1
2/19/2018 3:40,10,69.3,25,64.7,35,66,2,0,1
2/19/2018 3:45,9,69.4,24,64.8,33,66,2,0,1
2/19/2018 3:50,11,69.5,27,64.9,38,66.2,2,0,1
2/19/2018 3:55,11,69.3,26,64.7,37,66.1,2,0,1
2/19/2018 4:00,13,69.4,28,64.8,41,66.2,2,0,1
2/19/2018 4:05,13,69.3,28,64.7,41,66.2,2,0,1
2/19/2018 4:10,12,69.3,27,64.7,39,66.1,2,0,1
2/19/2018 4:15,12,69.3,27,64.7,39,66.2,2,0,1
2/19/2018 4:20,14,69.3,30,64.7,44,66.2,2,0,1
2/19/2018 4:25,20,69.5,35,64.9,55,66.6,2,0,1
2/19/2018 4:30,16,69.3,32,64.7,48,66.2,2,0,1
2/19/2018 4:35,21,69.4,37,64.8,58,66.5,2,0,1
2/19/2018 4:40,16,69.1,32,64.5,48,66,2,0,1
2/19/2018 4:45,21,69.4,38,64.7,59,66.4,2,0,1
2/19/2018 4:50,20,69.4,36,64.8,56,66.4,2,0,1
2/19/2018 4:55,24,69.4,40,64.8,64,66.5,2,0,1
2/19/2018 5:00,21,69.4,39,64.8,60,66.4,2,0,1
2/19/2018 5:05,20,69.5,36,64.9,56,66.6,2,0,1
2/19/2018 5:10,23,69,40,64.4,63,66.1,2,0,1
2/19/2018 5:15,25,69.3,41,64.7,66,66.5,2,0,1
2/19/2018 5:20,22,68.9,39,64.3,61,65.9,2,0,1
2/19/2018 5:25,29,68.2,47,63.6,76,65.3,2,0,1
2/19/2018 5:30,30,68.5,47,63.9,77,65.7,2,0,1
2/19/2018 5:35,28,69.4,45,64.8,73,66.6,2,0,1
2/19/2018 5:40,27,69.4,43,64.8,70,66.6,2,0,1
