,5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Lane 4 Flow (Veh/5 Minutes),Lane 4 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed,Holiday
0,2017-10-23 00:00:00,19,74.8,10,71,23,67.4,8,62.8,60,69.7,4,100,0
1,2017-10-23 00:05:00,20,74.6,2,70.9,13,66.8,13,62.8,48,69.1,4,100,0
2,2017-10-23 00:10:00,18,74.8,6,70.8,24,67.4,10,62.9,58,69.3,4,100,0
3,2017-10-23 00:15:00,12,74.9,7,70.9,21,67.5,10,62.8,50,68.8,4,100,0
4,2017-10-23 00:20:00,15,75,6,70.9,16,67.6,13,63,50,69,4,100,0
5,2017-10-23 00:25:00,14,74.8,5,70.9,15,67.7,10,62.8,44,69.2,4,100,0
6,2017-10-23 00:30:00,10,74.8,4,70.9,10,67.6,7,62.8,31,69.3,4,100,0
7,2017-10-23 00:35:00,6,74.7,0,70.9,15,67.7,7,62.9,28,68,4,100,0
8,2017-10-23 00:40:00,7,74.8,1,70.9,11,67.7,10,62.7,29,67.8,4,100,0
9,2017-10-23 00:45:00,9,74.8,3,71.1,12,67.6,10,62.7,34,68.4,4,100,0
10,2017-10-23 00:50:00,13,74.3,1,70.9,5,67.6,2,62.8,21,71.4,4,100,0
11,2017-10-23 00:55:00,19,74.8,1,71,10,67.6,4,62.7,34,71.1,4,100,0
12,2017-10-23 01:00:00,14,74.8,2,70.9,13,66.7,3,62.1,32,70.1,4,100,0
13,2017-10-23 01:05:00,2,74.9,0,70.9,7,67,5,62.4,14,66.5,4,100,0
14,2017-10-23 01:10:00,10,75,0,70.9,12,66.7,5,62.2,27,68.9,4,100,0
15,2017-10-23 01:15:00,5,75.3,3,70.9,11,67.1,4,62.5,23,68.6,4,100,0
16,2017-10-23 01:20:00,9,74.6,0,70.9,12,67.2,3,62.7,24,69.4,4,100,0
17,2017-10-23 01:25:00,6,74.6,1,70.9,11,67.3,2,62,20,69.1,4,100,0
18,2017-10-23 01:30:00,6,74.7,1,70.9,5,67.2,5,62.3,17,68.6,4,100,0
19,2017-10-23 01:35:00,3,74.8,1,70.8,6,67.4,7,62.4,17,66.8,4,100,0
20,2017-10-23 01:40:00,6,74.8,3,70.9,6,67.4,5,62.5,20,68.9,4,100,0
21,2017-10-23 01:45:00,7,74.8,2,70.9,8,67,7,62.7,24,68.3,4,100,0
22,2017-10-23 01:50:00,6,74.8,0,70.9,3,67.2,4,62.9,13,69.4,4,100,0
23,2017-10-23 01:55:00,3,74.8,0,70.9,12,67.3,2,63,17,68.1,4,100,0
24,2017-10-23 02:00:00,7,74.9,3,71,12,67.6,3,62.9,25,69.5,4,100,0
25,2017-10-23 02:05:00,5,74.3,5,70.9,5,67.7,3,62.8,18,69.6,4,100,0
26,2017-10-23 02:10:00,7,74.3,3,70.9,6,67.7,2,62.7,18,70.2,4,100,0
27,2017-10-23 02:15:00,2,74.7,2,70.9,4,67,2,62.6,10,68.4,4,100,0
28,2017-10-23 02:20:00,5,75,2,71.1,5,66.7,4,62.7,16,68.8,4,100,0
29,2017-10-23 02:25:00,8,75,1,71.1,7,67.2,7,62.7,23,68.7,4,100,0
30,2017-10-23 02:30:00,9,75.1,4,71.1,8,67.6,7,62.3,28,69.2,4,100,0
31,2017-10-23 02:35:00,12,74.9,3,71.1,4,67.1,4,62.6,23,70.9,4,100,0
32,2017-10-23 02:40:00,9,75,5,71.1,4,67.3,3,62.8,21,70.9,4,100,0
33,2017-10-23 02:45:00,7,75,2,71.1,11,67.5,3,62.8,23,69.5,4,100,0
34,2017-10-23 02:50:00,9,74.4,4,71.1,5,67.6,9,62.8,27,68.8,4,100,0
35,2017-10-23 02:55:00,8,74.8,3,71.1,12,66.8,4,62.8,27,69.1,4,100,0
36,2017-10-23 03:00:00,13,74.7,5,71.2,5,66.9,3,63,26,71.2,4,100,0
37,2017-10-23 03:05:00,5,74.8,5,71.1,5,65.7,0,63,15,70.5,4,100,0
38,2017-10-23 03:10:00,9,74.9,7,71,5,66.1,3,63,24,70.4,4,100,0
39,2017-10-23 03:15:00,6,74.7,3,71.2,5,66.9,4,61.8,18,69.1,4,100,0
40,2017-10-23 03:20:00,7,74.8,5,71.3,12,67.4,5,62.4,29,69,4,100,0
41,2017-10-23 03:25:00,14,75,5,71.2,6,67.4,4,62.2,29,71,4,100,0
42,2017-10-23 03:30:00,15,75.2,8,71.1,10,67.6,3,62.6,36,71.1,4,100,0
43,2017-10-23 03:35:00,8,75,8,71,11,67.6,5,62.7,32,69.5,4,100,0
44,2017-10-23 03:40:00,13,75,9,71,10,67.7,5,62.9,37,70.4,4,100,0
45,2017-10-23 03:45:00,19,75.1,10,71.2,6,67.8,7,62.4,42,71,4,100,0
46,2017-10-23 03:50:00,15,75.1,7,71.1,18,67.9,4,62.1,44,70.3,4,100,0
47,2017-10-23 03:55:00,16,75.2,9,71.1,13,67.9,10,60.9,48,69.5,4,100,0
48,2017-10-23 04:00:00,15,74.8,7,71,15,68.1,2,61.6,39,70.9,4,100,0
49,2017-10-23 04:05:00,21,75,10,71,16,67.8,3,62.3,50,71.1,4,100,0
50,2017-10-23 04:10:00,26,74.9,12,70.9,10,67.7,11,62.1,59,70.5,4,100,0
51,2017-10-23 04:15:00,25,74.2,20,70.9,14,67.8,9,62.1,68,70.3,4,100,0
52,2017-10-23 04:20:00,40,74.2,28,71,15,66.5,3,62.5,86,71.4,4,100,0
53,2017-10-23 04:25:00,29,74.9,25,71,20,65.5,12,60.4,86,69.6,4,100,0
54,2017-10-23 04:30:00,26,74.5,38,71.2,23,66.8,9,61.3,96,70.1,4,100,0
55,2017-10-23 04:35:00,42,73.8,33,71,20,67.8,11,62.2,106,70.6,4,100,0
56,2017-10-23 04:40:00,51,74.9,39,71.2,28,67,12,62.8,130,71,4,100,0
57,2017-10-23 04:45:00,48,74.4,47,71.4,35,67.4,16,62.9,146,70.5,4,100,0
58,2017-10-23 04:50:00,42,72.6,52,71.8,30,66.5,22,62.6,146,69.6,4,100,0
59,2017-10-23 04:55:00,56,74.4,67,70.3,46,67,24,62.6,193,69.7,4,100,0
60,2017-10-23 05:00:00,51,76.1,47,70.5,32,67.7,19,62.9,149,70.8,4,100,0
61,2017-10-23 05:05:00,65,76.9,61,70.9,37,66.7,14,63,177,71.6,4,100,0
62,2017-10-23 05:10:00,49,77.8,59,70.8,36,68,16,63.1,160,71.5,4,100,0
63,2017-10-23 05:15:00,57,76.1,63,70.8,43,67.1,28,63.5,191,70.5,4,100,0
64,2017-10-23 05:20:00,54,75.3,66,71,43,63.5,30,62.5,193,69.2,4,100,0
65,2017-10-23 05:25:00,53,73.4,81,70,42,66.5,29,63.7,205,69.3,4,100,0
66,2017-10-23 05:30:00,54,76,74,68.9,49,66.4,34,63.9,211,69.3,4,100,0
67,2017-10-23 05:35:00,60,73.5,85,69.5,50,68.3,45,60.8,240,68.6,4,100,0
68,2017-10-23 05:40:00,69,70.2,97,69.6,64,68.1,47,62.5,277,68.2,4,100,0
69,2017-10-23 05:45:00,61,74.5,94,70.4,60,69,55,64.2,270,69.8,4,100,0
70,2017-10-23 05:50:00,69,75.5,95,70.3,65,71.6,53,63.6,282,70.6,4,100,0
71,2017-10-23 05:55:00,64,73.7,96,70,66,69.6,52,61.6,278,69.2,4,100,0
72,2017-10-23 06:00:00,54,75.9,84,71.4,56,71.1,45,61.9,239,70.6,4,100,0
73,2017-10-23 06:05:00,67,76.5,69,70.7,69,70.4,51,57.5,256,69.5,4,100,0
74,2017-10-23 06:10:00,68,78.2,82,70.2,55,71.6,68,60.3,273,70,4,100,0
